Service,"Domain",Capability,Capability Type,"Owner Supports","Owner Read API","Owner Write/Action API","Current Truth Available","Current OIDA UI","Current OIDA Action","Primary Classification","Decision Rationale",User Value,"Frequency",Cross-Service Value,Complexity,Write Risk,Primary Roles,OIDA Surface,"Precheck Relevant",AI Future Value,"Deep Link Possible","Implementation Priority",Notes
"Infra Again","Implementation","View implementation readiness and reasons",READ,YES,YES,NO,PARTIAL,MISSING,NO,A,"Direct answer to whether Infra can proceed",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; PM; QA,Project Overview / Architecture,YES,HIGH,YES,P0,"Owner API exists; not in current truth"
"Infra Again","Implementation","Approve plan or request implementation change",ACTION,YES,YES,YES,NO,MISSING,NO,C,"Approval is governed and specialist",HIGH,MONTHLY,HIGH,MEDIUM,HIGH,INFRA; APPROVER,"Open in Infra Again",YES,HIGH,YES,DEFER,"Status projection only"
"Infra Again","Integration","View PM and QA implementation handoff status",READ,YES,YES,NO,NO,MISSING,NO,A,"Proves cross-service handoff completion",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; PM; QA,Project Health / History,YES,HIGH,YES,P1,"Projection with correlation provenance"
"Infra Again","Execution","View execution-package approval and status",READ,YES,YES,NO,NO,MISSING,NO,A,"Shows whether approved implementation is executable",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; PM,Architecture / Project Health,YES,HIGH,YES,P1,"Summary only"
"Infra Again","Execution","View execution-run state and last outcome",READ,YES,YES,NO,NO,MISSING,NO,A,"Operational result affects readiness",HIGH,DAILY,HIGH,LOW,LOW,INFRA; PROJECT_OWNER; QA,Architecture / Project Health,YES,HIGH,YES,P1,"No execution controls in OIDA"
"Infra Again","Evidence","View execution evidence and verification status",READ,YES,YES,NO,NO,MISSING,NO,A,"Supports readiness without copying evidence",HIGH,WEEKLY,HIGH,MEDIUM,LOW,INFRA; QA; REVIEWER; APPROVER,Architecture / Precheck,YES,HIGH,YES,P1,"Owner links/provenance only"
"Infra Again","Execution","View preflight status and blocking checks",READ,YES,YES,NO,NO,MISSING,NO,A,"Explains why Infra execution cannot proceed",HIGH,DAILY,HIGH,LOW,LOW,INFRA; PROJECT_OWNER; PM,"Architecture / My Actions",YES,HIGH,YES,P0,"Project critical exceptions only"
"Infra Again","Execution","Build, approve, execute, reconcile, verify, or clean up packages",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"High-risk infrastructure execution must stay in owner",HIGH,DAILY,MEDIUM,HIGH,CRITICAL,INFRA; APPROVER,"Open in Infra Again",NO,MEDIUM,YES,DEFER,"Never proxy destructive execution casually"
"Infra Again","Promotion","View promotion status and verification",READ,YES,YES,NO,NO,MISSING,NO,A,"Release progression affects go-live readiness",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; QA; PM,Project Health / Architecture,YES,HIGH,YES,P1,"Projection only"
"Infra Again","Promotion","Create, approve, reject, consume, or verify promotion",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Governed release workflow belongs to Infra",HIGH,DAILY,HIGH,HIGH,CRITICAL,INFRA; APPROVER,"Open in Infra Again",NO,HIGH,YES,DEFER,No duplicate release workflow
"Infra Again",Rollback,"View rollback-plan readiness and approval",READ,YES,YES,NO,NO,MISSING,NO,A,"Required for cutover and acceptance confidence",HIGH,WEEKLY,HIGH,LOW,LOW,INFRA; PROJECT_OWNER; APPROVER,"Architecture / Document Precheck",YES,HIGH,YES,P1,"Projection only"
"Infra Again",Rollback,"Create, approve, or execute rollback plan",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"High-risk operational workflow",HIGH,RARE,HIGH,HIGH,CRITICAL,INFRA; APPROVER,"Open in Infra Again",NO,HIGH,YES,DEFER,"Do not execute from OIDA"
"Infra Again",UAT,"View infrastructure UAT status and outcome",READ,YES,YES,NO,NO,MISSING,NO,A,"Contributes to QA and go-live readiness",HIGH,WEEKLY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; QA; APPROVER,Project Health / Architecture,YES,HIGH,YES,P1,"Keep distinct from Document customer acceptance"
"Infra Again",UAT,"Create or sign off Infra UAT",ACTION,YES,YES,YES,NO,MISSING,NO,C,"Governed evidence action belongs to Infra",HIGH,WEEKLY,HIGH,MEDIUM,HIGH,INFRA; APPROVER,"Open in Infra Again",YES,HIGH,YES,DEFER,"OIDA projects result only"
"Infra Again","Readiness","View scoped production readiness and blocking reasons",READ,YES,YES,NO,PARTIAL,MISSING,NO,A,"Direct go-live input",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; QA; PM; APPROVER,Project Overview / Project Health,YES,HIGH,YES,P0,"Must be scoped through explicit workspace binding"
"Infra Again",Workspace,"Manage current design, plan, and package pointers",INTERNAL,YES,YES,YES,PARTIAL,MISSING,PARTIAL,D,"Correlation mechanics should not become normal UI",LOW,RARE,HIGH,MEDIUM,HIGH,INFRA ADMIN; SYSTEM,"None",YES,MEDIUM,NO,DEFER,"Use project_bindings contract, hide pointer mechanics"
"Infra Again","Provider Intelligence","Browse providers, services, capability comparison, and targets",READ,YES,YES,NO,NO,MISSING,NO,C,"Specialist platform selection belongs to architecture work",MEDIUM,MONTHLY,MEDIUM,HIGH,LOW,ARCHITECT; INFRA,"Open in Infra Again",NO,HIGH,YES,DEFER,"Selected feasibility exceptions may project"
"Infra Again","Provider Intelligence","Sync provider catalog and inspect snapshots",INTERNAL,YES,YES,YES,NO,MISSING,NO,D,"Catalog maintenance is operational implementation detail",LOW,RARE,LOW,HIGH,HIGH,INFRA ADMIN,"None",NO,LOW,NO,DEFER,"No normal-user exposure"
"Infra Again","Runner","Register runners, heartbeat, lease, complete, or fail tasks",INTERNAL,YES,YES,YES,NO,MISSING,NO,D,"Runner mechanics are internal execution plumbing",LOW,CONTINUOUS,LOW,HIGH,CRITICAL,INFRA ADMIN; SYSTEM,"None",NO,LOW,NO,DEFER,Never expose leases
"Infra Again","Sandbox","Manage sandbox targets, approvals, preflight, and executions",INTERNAL,YES,YES,YES,NO,MISSING,NO,D,"Test harness and guarded execution internals",LOW,RARE,LOW,HIGH,CRITICAL,INFRA ADMIN; SYSTEM,"None",NO,LOW,NO,DEFER,Not project UX
"Infra Again","Control Plane","Use raw plan, apply, reconcile, run architecture, and evidence APIs",INTERNAL,YES,YES,YES,NO,MISSING,NO,D,"Low-level control plane is not curated project capability",LOW,RARE,LOW,HIGH,CRITICAL,INFRA ADMIN; SYSTEM,"None",NO,LOW,NO,DEFER,"Owner internal/control API"
"Infra Again",Service,"Inspect liveness and capability registry",INTERNAL,YES,YES,NO,NO,MISSING,NO,D,"Operational health metadata belongs to monitoring",LOW,CONTINUOUS,LOW,LOW,LOW,SYSTEM,"None",NO,LOW,NO,DEFER,"OIDA may show safe unavailable state only"

